No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-24 21:42:07	216.5000           	18.7100            	2.4710             	4.0507             	3.2129             	0.6090             	60.0100            	0.0000             	0.0000             	0.0000             
2                  	2021-01-24 21:42:09	216.6000           	18.8700            	2.4760             	4.0872             	3.2544             	0.6050             	60.0200            	0.0000             	0.0000             	0.0000             
3                  	2021-01-24 21:42:10	216.7000           	23.3300            	2.9740             	5.0556             	4.0930             	0.5870             	60.0200            	0.0000             	0.0000             	0.0000             
4                  	2021-01-24 21:42:11	216.7000           	19.0000            	2.4900             	4.1173             	3.2814             	0.6040             	60.0200            	0.0000             	0.0000             	0.0000             
5                  	2021-01-24 21:42:12	216.7000           	18.3500            	2.4070             	3.9764             	3.1661             	0.6050             	60.0300            	0.0000             	0.0000             	0.0000             
6                  	2021-01-24 21:42:13	216.6000           	18.2600            	2.4010             	3.9551             	3.1462             	0.6060             	60.0300            	0.0000             	0.0000             	0.0000             
7                  	2021-01-24 21:42:14	216.6000           	26.4700            	3.3670             	5.7334             	4.6417             	0.5870             	60.0300            	0.0000             	0.0000             	0.0000             
8                  	2021-01-24 21:42:15	216.5000           	29.6300            	3.7140             	6.4149             	5.2348             	0.5780             	60.0300            	0.0000             	0.0000             	0.0000             
9                  	2021-01-24 21:42:16	216.6000           	27.1900            	3.4620             	5.8894             	4.7679             	0.5870             	60.0300            	0.0000             	0.0000             	0.0000             
10                 	2021-01-24 21:42:17	216.6000           	20.1000            	2.6440             	4.3537             	3.4599             	0.6070             	60.0200            	0.0000             	0.0000             	0.0000             
11                 	2021-01-24 21:42:19	216.6000           	19.3600            	2.5380             	4.1934             	3.3389             	0.6050             	60.0200            	0.0000             	0.0000             	0.0000             
12                 	2021-01-24 21:42:20	216.7000           	18.0300            	2.3710             	3.9071             	3.1080             	0.6060             	60.0300            	0.0000             	0.0000             	0.0000             
13                 	2021-01-24 21:42:21	216.6000           	18.7300            	2.4470             	4.0569             	3.2394             	0.6020             	60.0300            	0.0000             	0.0000             	0.0000             
14                 	2021-01-24 21:42:22	216.6000           	18.1300            	2.3840             	3.9270             	3.1208             	0.6070             	60.0300            	0.0000             	0.0000             	0.0000             
15                 	2021-01-24 21:42:23	216.6000           	19.2000            	2.5070             	4.1587             	3.3207             	0.6020             	60.0300            	0.0000             	0.0000             	0.0000             
16                 	2021-01-24 21:42:24	216.5000           	20.8800            	2.7250             	4.5205             	3.6096             	0.6020             	60.0300            	0.0000             	0.0000             	0.0000             
17                 	2021-01-24 21:42:25	216.5000           	28.9500            	3.6180             	6.2677             	5.1191             	0.5770             	60.0200            	0.0000             	0.0000             	0.0000             
18                 	2021-01-24 21:42:26	216.5000           	20.5900            	2.6850             	4.4577             	3.5595             	0.6020             	60.0400            	0.0000             	0.0000             	0.0000             
19                 	2021-01-24 21:42:28	216.5000           	18.8800            	2.4750             	4.0875             	3.2546             	0.6050             	60.0200            	0.0000             	0.0000             	0.0000             
20                 	2021-01-24 21:42:29	216.6000           	18.4400            	2.4140             	3.9941             	3.1863             	0.6030             	60.0200            	0.0000             	0.0000             	0.0000             
21                 	2021-01-24 21:42:30	216.6000           	18.0700            	2.3650             	3.9140             	3.1194             	0.6040             	60.0200            	0.0000             	0.0000             	0.0000             
22                 	2021-01-24 21:42:31	216.7000           	17.0900            	2.2390             	3.7034             	2.9516             	0.6040             	60.0200            	0.0000             	0.0000             	0.0000             
23                 	2021-01-24 21:42:32	216.6000           	19.9100            	2.5830             	4.3125             	3.4565             	0.5980             	60.0200            	0.0000             	0.0000             	0.0000             
24                 	2021-01-24 21:42:33	216.5000           	18.2900            	2.3950             	3.9598             	3.1559             	0.6040             	60.0200            	0.0000             	0.0000             	0.0000             
25                 	2021-01-24 21:42:34	216.4000           	18.2500            	2.3910             	3.9493             	3.1445             	0.6050             	60.0200            	0.0000             	0.0000             	0.0000             
26                 	2021-01-24 21:42:35	216.5000           	18.5600            	2.4220             	4.0182             	3.2085             	0.6020             	60.0200            	0.0000             	0.0000             	0.0000             
27                 	2021-01-24 21:42:36	216.5000           	19.0000            	2.4850             	4.1135             	3.2815             	0.6030             	60.0200            	0.0000             	0.0000             	0.0000             
28                 	2021-01-24 21:42:37	216.5000           	16.9500            	2.2190             	3.6697             	2.9247             	0.6040             	60.0200            	0.0000             	0.0000             	0.0000             
29                 	2021-01-24 21:42:39	216.7000           	19.0000            	2.4800             	4.1173             	3.2876             	0.6020             	60.0200            	0.0000             	0.0000             	0.0000             
30                 	2021-01-24 21:42:40	216.6000           	24.8500            	3.1810             	5.3825             	4.3459             	0.5900             	60.0300            	0.0000             	0.0000             	0.0000             
31                 	2021-01-24 21:42:41	216.6000           	23.1000            	2.9810             	5.0035             	4.0214             	0.5950             	60.0300            	0.0000             	0.0000             	0.0000             
32                 	2021-01-24 21:42:42	216.5000           	22.9100            	2.9650             	4.9600             	3.9791             	0.5970             	60.0300            	0.0000             	0.0000             	0.0000             
33                 	2021-01-24 21:42:43	216.6000           	22.0800            	2.8740             	4.7825             	3.8260             	0.6000             	60.0300            	0.0000             	0.0000             	0.0000             
34                 	2021-01-24 21:42:44	216.5000           	23.7600            	3.0580             	5.1440             	4.1382             	0.5940             	60.0300            	0.0000             	0.0000             	0.0000             
35                 	2021-01-24 21:42:45	216.6000           	22.1000            	2.8740             	4.7869             	3.8295             	0.6000             	60.0300            	0.0000             	0.0000             	0.0000             
