No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ Dollar ]     
1                  	2021-01-29 13:34:42	213.9000           	27.9400            	3.5030             	5.9764             	4.8470             	0.5850             	59.9900            	0.0000             	0.0000             	0.0000             
2                  	2021-01-29 13:34:43	213.8000           	30.4300            	3.7760             	6.5059             	5.2998             	0.5800             	59.9800            	0.0000             	0.0000             	0.0000             
3                  	2021-01-29 13:34:44	213.7000           	28.5500            	3.5790             	6.1011             	4.9438             	0.5860             	60.0000            	0.0000             	0.0000             	0.0000             
4                  	2021-01-29 13:34:45	213.7000           	38.5700            	4.6890             	8.2424             	6.7837             	0.5680             	60.0000            	0.0000             	0.0000             	0.0000             
5                  	2021-01-29 13:34:46	213.6000           	26.7200            	3.3550             	5.7074             	4.6206             	0.5870             	59.9900            	0.0000             	0.0000             	0.0000             
6                  	2021-01-29 13:34:47	213.4000           	33.3000            	4.0930             	7.1062             	5.8140             	0.5750             	59.9900            	0.0000             	0.0000             	0.0000             
7                  	2021-01-29 13:34:49	213.7000           	31.9700            	3.9120             	6.8320             	5.6040             	0.5720             	59.9900            	0.0000             	0.0000             	0.0000             
8                  	2021-01-29 13:34:50	213.8000           	26.8100            	3.3590             	5.7320             	4.6488             	0.5850             	59.9900            	0.0000             	0.0000             	0.0000             
9                  	2021-01-29 13:34:51	213.8000           	26.6900            	3.3510             	5.7063             	4.6198             	0.5870             	59.9900            	0.0000             	0.0000             	0.0000             
10                 	2021-01-29 13:34:52	213.9000           	26.7400            	3.3570             	5.7197             	4.6347             	0.5860             	59.9900            	0.0000             	0.0000             	0.0000             
11                 	2021-01-29 13:34:53	214.0000           	26.5500            	3.3030             	5.6817             	4.6244             	0.5810             	59.9900            	0.0000             	0.0000             	0.0000             
12                 	2021-01-29 13:34:54	213.8000           	26.4500            	3.3150             	5.6550             	4.5864             	0.5850             	59.9900            	0.0000             	0.0000             	0.0000             
13                 	2021-01-29 13:34:56	214.0000           	27.3800            	3.4050             	5.8593             	4.7731             	0.5800             	59.9900            	0.0000             	0.0000             	0.0000             
14                 	2021-01-29 13:34:57	213.7000           	37.3000            	4.5470             	7.9710             	6.5493             	0.5700             	59.9900            	0.0000             	0.0000             	0.0000             
15                 	2021-01-29 13:34:58	213.9000           	37.4600            	4.5620             	8.0127             	6.5891             	0.5690             	59.9900            	0.0000             	0.0000             	0.0000             
16                 	2021-01-29 13:34:59	213.7000           	37.2000            	4.5580             	7.9496             	6.5152             	0.5730             	59.9900            	0.0000             	0.0000             	0.0000             
17                 	2021-01-29 13:35:00	213.9000           	37.1400            	4.5490             	7.9442             	6.5163             	0.5720             	59.9900            	0.0000             	0.0000             	0.0000             
18                 	2021-01-29 13:35:01	213.7000           	37.4100            	4.5780             	7.9945             	6.5575             	0.5720             	59.9900            	0.0000             	0.0000             	0.0000             
19                 	2021-01-29 13:35:02	213.9000           	37.3200            	4.5640             	7.9827             	6.5534             	0.5710             	59.9900            	0.0000             	0.0000             	0.0000             
20                 	2021-01-29 13:35:03	213.8000           	37.2100            	4.5540             	7.9555             	6.5255             	0.5720             	59.9900            	0.0000             	0.0000             	0.0000             
21                 	2021-01-29 13:35:04	213.8000           	37.3600            	4.5630             	7.9876             	6.5574             	0.5710             	60.0000            	0.0000             	0.0000             	0.0000             
22                 	2021-01-29 13:35:05	213.8000           	29.2900            	3.6210             	6.2622             	5.1146             	0.5770             	59.9900            	0.0000             	0.0000             	0.0000             
23                 	2021-01-29 13:35:07	213.7000           	26.8100            	3.3580             	5.7293             	4.6467             	0.5850             	60.0000            	0.0000             	0.0000             	0.0000             
24                 	2021-01-29 13:35:08	213.9000           	27.6200            	3.4440             	5.9079             	4.8043             	0.5820             	60.0000            	0.0000             	0.0000             	0.0000             
25                 	2021-01-29 13:35:09	214.0000           	26.7500            	3.3580             	5.7245             	4.6386             	0.5860             	60.0000            	0.0000             	0.0000             	0.0000             
26                 	2021-01-29 13:35:10	213.9000           	26.8600            	3.3630             	5.7454             	4.6597             	0.5850             	60.0000            	0.0000             	0.0000             	0.0000             
27                 	2021-01-29 13:35:11	213.9000           	27.5700            	3.4380             	5.8972             	4.7956             	0.5820             	60.0000            	0.0000             	0.0000             	0.0000             
28                 	2021-01-29 13:35:12	214.0000           	26.9500            	3.3730             	5.7673             	4.6816             	0.5840             	60.0000            	0.0000             	0.0000             	0.0000             
