No.                	Time               	Voltage[ V ]       	Current[ mA ]      	Active Power[ W ]  	Apparent Power[ VA ]	Reactive Power[ Var ]	Power Factor[ PF ] 	Frequency[ Hz ]    	Watt Hours[ Wh ]   	CO2[ g ]           	Cost[ $ ]          
1                  	2021-02-08 20:53:22	214.2000           	16.4600            	2.0240             	3.5257             	2.8895             	0.5730             	60.0200            	0.0000             	0.0000             	0.0000             
2                  	2021-02-08 20:53:23	214.0000           	16.4200            	2.0150             	3.5139             	2.8798             	0.5730             	60.0300            	0.0000             	0.0000             	0.0000             
3                  	2021-02-08 20:53:24	214.1000           	20.6400            	2.5390             	4.4190             	3.6185             	0.5740             	60.0300            	0.0000             	0.0000             	0.0000             
4                  	2021-02-08 20:53:26	214.2000           	20.6900            	2.5420             	4.4318             	3.6321             	0.5730             	60.0200            	0.0000             	0.0000             	0.0000             
5                  	2021-02-08 20:53:27	214.2000           	14.4700            	1.7550             	3.0995             	2.5552             	0.5660             	60.0200            	0.0000             	0.0000             	0.0000             
6                  	2021-02-08 20:53:28	214.2000           	14.5200            	1.7580             	3.1102             	2.5683             	0.5640             	60.0200            	0.0000             	0.0000             	0.0000             
7                  	2021-02-08 20:53:29	214.2000           	14.5900            	1.7680             	3.1252             	2.5786             	0.5650             	60.0200            	0.0000             	0.0000             	0.0000             
8                  	2021-02-08 20:53:30	214.1000           	14.4700            	1.7540             	3.0980             	2.5562             	0.5650             	59.9900            	0.0000             	0.0000             	0.0000             
9                  	2021-02-08 20:53:31	214.2000           	14.6800            	1.7800             	3.1445             	2.5945             	0.5650             	60.0200            	0.0000             	0.0000             	0.0000             
10                 	2021-02-08 20:53:32	214.0000           	14.5000            	1.7540             	3.1030             	2.5603             	0.5650             	60.0100            	0.0000             	0.0000             	0.0000             
11                 	2021-02-08 20:53:33	214.0000           	14.4900            	1.7520             	3.1009             	2.5606             	0.5640             	60.0100            	0.0000             	0.0000             	0.0000             
12                 	2021-02-08 20:53:35	213.9000           	14.5200            	1.7560             	3.1058             	2.5626             	0.5650             	60.0200            	0.0000             	0.0000             	0.0000             
13                 	2021-02-08 20:53:36	213.9000           	23.1500            	2.8640             	4.9518             	4.0408             	0.5780             	60.0200            	0.0000             	0.0000             	0.0000             
14                 	2021-02-08 20:53:37	214.0000           	23.3000            	2.8710             	4.9862             	4.0795             	0.5750             	60.0200            	0.0000             	0.0000             	0.0000             
15                 	2021-02-08 20:53:38	213.9000           	23.4000            	2.8800             	5.0053             	4.0951             	0.5750             	60.0200            	0.0000             	0.0000             	0.0000             
16                 	2021-02-08 20:53:39	213.9000           	23.2800            	2.8730             	4.9796             	4.0706             	0.5760             	60.0200            	0.0000             	0.0000             	0.0000             
17                 	2021-02-08 20:53:40	214.0000           	23.3600            	2.8850             	4.9990             	4.0829             	0.5770             	60.0200            	0.0000             	0.0000             	0.0000             
18                 	2021-02-08 20:53:41	214.1000           	23.2700            	2.8820             	4.9821             	4.0656             	0.5780             	60.0200            	0.0000             	0.0000             	0.0000             
19                 	2021-02-08 20:53:42	214.2000           	23.3200            	2.8800             	4.9951             	4.0833             	0.5760             	60.0200            	0.0000             	0.0000             	0.0000             
20                 	2021-02-08 20:53:43	214.2000           	23.3100            	2.8860             	4.9930             	4.0780             	0.5770             	60.0200            	0.0000             	0.0000             	0.0000             
21                 	2021-02-08 20:53:44	214.6000           	23.4100            	2.8930             	5.0238             	4.1102             	0.5750             	60.0200            	0.0000             	0.0000             	0.0000             
22                 	2021-02-08 20:53:46	214.6000           	23.3700            	2.8900             	5.0152             	4.1032             	0.5750             	60.0100            	0.0000             	0.0000             	0.0000             
23                 	2021-02-08 20:53:47	214.5000           	23.3900            	2.8980             	5.0172             	4.0977             	0.5770             	60.0100            	0.0000             	0.0000             	0.0000             
24                 	2021-02-08 20:53:48	214.5000           	23.3100            	2.8870             	5.0000             	4.0837             	0.5770             	60.0100            	0.0000             	0.0000             	0.0000             
25                 	2021-02-08 20:53:49	214.5000           	23.3700            	2.8940             	5.0129             	4.0942             	0.5770             	60.0100            	0.0000             	0.0000             	0.0000             
26                 	2021-02-08 20:53:50	214.6000           	23.3800            	2.8930             	5.0173             	4.1014             	0.5760             	60.0100            	0.0000             	0.0000             	0.0000             
27                 	2021-02-08 20:53:51	214.5000           	23.3900            	2.8910             	5.0172             	4.1013             	0.5760             	60.0100            	0.0000             	0.0000             	0.0000             
28                 	2021-02-08 20:53:52	214.5000           	23.3100            	2.8890             	5.0000             	4.0837             	0.5770             	60.0100            	0.0000             	0.0000             	0.0000             
29                 	2021-02-08 20:53:54	214.8000           	23.3800            	2.8960             	5.0220             	4.1053             	0.5760             	60.0100            	0.0000             	0.0000             	0.0000             
30                 	2021-02-08 20:53:55	214.6000           	23.3900            	2.8930             	5.0195             	4.1032             	0.5760             	60.0100            	0.0000             	0.0000             	0.0000             
31                 	2021-02-08 20:53:56	214.7000           	23.4300            	2.8990             	5.0304             	4.1121             	0.5760             	60.0100            	0.0000             	0.0000             	0.0000             
32                 	2021-02-08 20:53:57	214.7000           	23.4200            	2.8930             	5.0283             	4.1139             	0.5750             	60.0100            	0.0000             	0.0000             	0.0000             
33                 	2021-02-08 20:53:58	214.7000           	23.3700            	2.8980             	5.0175             	4.0980             	0.5770             	60.0200            	0.0000             	0.0000             	0.0000             
34                 	2021-02-08 20:53:59	214.6000           	23.4200            	2.8950             	5.0259             	4.1120             	0.5750             	60.0200            	0.0000             	0.0000             	0.0000             
35                 	2021-02-08 20:54:00	214.7000           	23.4700            	2.8950             	5.0390             	4.1262             	0.5740             	60.0200            	0.0000             	0.0000             	0.0000             
36                 	2021-02-08 20:54:01	214.6000           	23.5300            	2.9040             	5.0495             	4.1348             	0.5740             	60.0100            	0.0000             	0.0000             	0.0000             
37                 	2021-02-08 20:54:03	214.7000           	23.3700            	2.8970             	5.0175             	4.0980             	0.5770             	60.0100            	0.0000             	0.0000             	0.0000             
38                 	2021-02-08 20:54:04	214.7000           	23.4300            	2.8990             	5.0304             	4.1121             	0.5760             	60.0100            	0.0000             	0.0000             	0.0000             
39                 	2021-02-08 20:54:05	214.8000           	23.4600            	2.9040             	5.0392             	4.1193             	0.5760             	60.0100            	0.0000             	0.0000             	0.0000             
40                 	2021-02-08 20:54:06	214.7000           	23.4500            	2.8950             	5.0347             	4.1227             	0.5740             	60.0100            	0.0000             	0.0000             	0.0000             
41                 	2021-02-08 20:54:07	214.7000           	23.4700            	2.9020             	5.0390             	4.1227             	0.5750             	60.0100            	0.0000             	0.0000             	0.0000             
42                 	2021-02-08 20:54:08	214.7000           	23.4700            	2.9020             	5.0390             	4.1227             	0.5750             	60.0100            	0.0000             	0.0000             	0.0000             
43                 	2021-02-08 20:54:09	214.5000           	23.4600            	2.9040             	5.0322             	4.1135             	0.5760             	60.0100            	0.0000             	0.0000             	0.0000             
44                 	2021-02-08 20:54:11	214.5000           	23.4500            	2.8970             	5.0300             	4.1153             	0.5750             	60.0100            	0.0000             	0.0000             	0.0000             
45                 	2021-02-08 20:54:12	214.4000           	23.4600            	2.9010             	5.0298             	4.1116             	0.5760             	60.0000            	0.0000             	0.0000             	0.0000             
46                 	2021-02-08 20:54:13	214.5000           	23.5800            	2.9070             	5.0579             	4.1417             	0.5740             	60.0000            	0.0000             	0.0000             	0.0000             
47                 	2021-02-08 20:54:14	214.4000           	23.5000            	2.9020             	5.0384             	4.1222             	0.5750             	60.0200            	0.0000             	0.0000             	0.0000             
48                 	2021-02-08 20:54:15	214.5000           	23.3600            	2.8990             	5.0107             	4.0889             	0.5780             	60.0200            	0.0000             	0.0000             	0.0000             
49                 	2021-02-08 20:54:16	214.1000           	22.2600            	2.7710             	4.7659             	3.8824             	0.5800             	60.0100            	0.0000             	0.0000             	0.0000             
50                 	2021-02-08 20:54:17	214.1000           	23.3700            	2.9010             	5.0035             	4.0795             	0.5790             	60.0100            	0.0000             	0.0000             	0.0000             
51                 	2021-02-08 20:54:18	214.1000           	23.3600            	2.8940             	5.0014             	4.0813             	0.5780             	60.0000            	0.0000             	0.0000             	0.0000             
52                 	2021-02-08 20:54:19	214.0000           	23.4500            	2.9010             	5.0183             	4.0987             	0.5770             	59.9800            	0.0000             	0.0000             	0.0000             
53                 	2021-02-08 20:54:21	214.1000           	23.3500            	2.8980             	4.9992             	4.0760             	0.5790             	60.0000            	0.0000             	0.0000             	0.0000             
54                 	2021-02-08 20:54:22	214.1000           	23.4100            	2.8980             	5.0121             	4.0936             	0.5770             	60.0000            	0.0000             	0.0000             	0.0000             
55                 	2021-02-08 20:54:23	214.1000           	23.4000            	2.9030             	5.0099             	4.0847             	0.5790             	60.0000            	0.0000             	0.0000             	0.0000             
56                 	2021-02-08 20:54:24	214.0000           	23.3100            	2.8990             	4.9883             	4.0636             	0.5800             	60.0100            	0.0000             	0.0000             	0.0000             
57                 	2021-02-08 20:54:25	214.2000           	23.3100            	2.9010             	4.9930             	4.0674             	0.5800             	60.0100            	0.0000             	0.0000             	0.0000             
58                 	2021-02-08 20:54:26	214.1000           	23.2600            	2.9050             	4.9800             	4.0461             	0.5830             	60.0100            	0.0000             	0.0000             	0.0000             
59                 	2021-02-08 20:54:27	214.2000           	23.2900            	2.9010             	4.9887             	4.0603             	0.5810             	60.0100            	0.0000             	0.0000             	0.0000             
60                 	2021-02-08 20:54:28	214.1000           	23.3800            	2.9080             	5.0057             	4.0777             	0.5800             	60.0200            	0.0000             	0.0000             	0.0000             
61                 	2021-02-08 20:54:29	214.2000           	23.2700            	2.9030             	4.9844             	4.0533             	0.5820             	60.0100            	0.0000             	0.0000             	0.0000             
62                 	2021-02-08 20:54:30	214.3000           	23.4000            	2.9040             	5.0146             	4.0886             	0.5790             	60.0200            	0.0000             	0.0000             	0.0000             
63                 	2021-02-08 20:54:32	214.3000           	23.4000            	2.9010             	5.0146             	4.0921             	0.5780             	60.0200            	0.0000             	0.0000             	0.0000             
64                 	2021-02-08 20:54:33	214.4000           	23.3900            	2.9030             	5.0148             	4.0923             	0.5780             	60.0200            	0.0000             	0.0000             	0.0000             
65                 	2021-02-08 20:54:34	214.4000           	23.4300            	2.9040             	5.0234             	4.0993             	0.5780             	60.0200            	0.0000             	0.0000             	0.0000             
66                 	2021-02-08 20:54:35	214.3000           	23.3400            	2.8980             	5.0018             	4.0781             	0.5790             	60.0200            	0.0000             	0.0000             	0.0000             
67                 	2021-02-08 20:54:36	214.4000           	23.3400            	2.9010             	5.0041             	4.0800             	0.5790             	60.0300            	0.0000             	0.0000             	0.0000             
68                 	2021-02-08 20:54:37	214.4000           	16.2100            	2.0090             	3.4754             	2.8385             	0.5770             	60.0300            	0.0000             	0.0000             	0.0000             
69                 	2021-02-08 20:54:38	214.5000           	15.5000            	1.9070             	3.3247             	2.7248             	0.5730             	60.0300            	0.0000             	0.0000             	0.0000             
70                 	2021-02-08 20:54:40	214.6000           	15.4300            	1.9020             	3.3113             	2.7115             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
71                 	2021-02-08 20:54:41	214.6000           	15.4300            	1.9020             	3.3113             	2.7115             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
72                 	2021-02-08 20:54:42	214.6000           	15.4200            	1.8970             	3.3091             	2.7120             	0.5730             	60.0400            	0.0000             	0.0000             	0.0000             
73                 	2021-02-08 20:54:43	214.4000           	14.5700            	1.7710             	3.1238             	2.5753             	0.5660             	60.0400            	0.0000             	0.0000             	0.0000             
74                 	2021-02-08 20:54:44	214.4000           	14.5000            	1.7650             	3.1088             	2.5608             	0.5670             	60.0400            	0.0000             	0.0000             	0.0000             
75                 	2021-02-08 20:54:45	214.5000           	14.4800            	1.7640             	3.1060             	2.5584             	0.5670             	60.0400            	0.0000             	0.0000             	0.0000             
76                 	2021-02-08 20:54:46	214.3000           	19.2200            	2.3440             	4.1188             	3.3871             	0.5690             	60.0400            	0.0000             	0.0000             	0.0000             
77                 	2021-02-08 20:54:48	214.4000           	23.2300            	2.8800             	4.9805             	4.0643             	0.5780             	60.0300            	0.0000             	0.0000             	0.0000             
78                 	2021-02-08 20:54:49	214.4000           	23.2600            	2.8880             	4.9869             	4.0660             	0.5790             	60.0400            	0.0000             	0.0000             	0.0000             
79                 	2021-02-08 20:54:50	214.5000           	23.1900            	2.8870             	4.9743             	4.0521             	0.5800             	60.0300            	0.0000             	0.0000             	0.0000             
80                 	2021-02-08 20:54:51	214.4000           	23.2400            	2.8890             	4.9827             	4.0625             	0.5790             	60.0300            	0.0000             	0.0000             	0.0000             
81                 	2021-02-08 20:54:52	214.5000           	23.2200            	2.8910             	4.9807             	4.0574             	0.5800             	60.0300            	0.0000             	0.0000             	0.0000             
82                 	2021-02-08 20:54:53	214.4000           	23.3100            	2.9010             	4.9977             	4.0712             	0.5800             	60.0200            	0.0000             	0.0000             	0.0000             
83                 	2021-02-08 20:54:55	214.3000           	23.2100            	2.8980             	4.9739             	4.0447             	0.5820             	60.0200            	0.0000             	0.0000             	0.0000             
84                 	2021-02-08 20:54:56	214.3000           	23.3300            	2.9010             	4.9996             	4.0728             	0.5800             	60.0200            	0.0000             	0.0000             	0.0000             
85                 	2021-02-08 20:54:57	214.5000           	23.2500            	2.8910             	4.9871             	4.0661             	0.5790             	60.0200            	0.0000             	0.0000             	0.0000             
86                 	2021-02-08 20:54:58	214.4000           	23.3600            	2.8980             	5.0084             	4.0870             	0.5780             	60.0200            	0.0000             	0.0000             	0.0000             
87                 	2021-02-08 20:54:59	214.5000           	23.3300            	2.8990             	5.0043             	4.0801             	0.5790             	60.0300            	0.0000             	0.0000             	0.0000             
88                 	2021-02-08 20:55:00	214.5000           	23.3000            	2.8970             	4.9979             	4.0749             	0.5790             	60.0300            	0.0000             	0.0000             	0.0000             
89                 	2021-02-08 20:55:02	214.3000           	23.3700            	2.9000             	5.0082             	4.0869             	0.5780             	60.0300            	0.0000             	0.0000             	0.0000             
90                 	2021-02-08 20:55:03	214.4000           	23.3400            	2.9000             	5.0041             	4.0800             	0.5790             	60.0400            	0.0000             	0.0000             	0.0000             
91                 	2021-02-08 20:55:04	214.2000           	23.3000            	2.8990             	4.9909             	4.0656             	0.5800             	60.0400            	0.0000             	0.0000             	0.0000             
92                 	2021-02-08 20:55:05	214.2000           	23.3500            	2.8990             	5.0016             	4.0779             	0.5790             	60.0300            	0.0000             	0.0000             	0.0000             
93                 	2021-02-08 20:55:06	214.2000           	23.2400            	2.8970             	4.9780             	4.0516             	0.5810             	60.0400            	0.0000             	0.0000             	0.0000             
94                 	2021-02-08 20:55:07	214.3000           	23.2700            	2.9030             	4.9868             	4.0552             	0.5820             	60.0300            	0.0000             	0.0000             	0.0000             
95                 	2021-02-08 20:55:08	214.3000           	23.4600            	2.9020             	5.0275             	4.1062             	0.5770             	60.0400            	0.0000             	0.0000             	0.0000             
96                 	2021-02-08 20:55:09	214.3000           	23.5900            	2.9020             	5.0553             	4.1396             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
97                 	2021-02-08 20:55:11	214.4000           	23.7000            	2.9070             	5.0813             	4.1715             	0.5710             	60.0400            	0.0000             	0.0000             	0.0000             
98                 	2021-02-08 20:55:12	214.4000           	23.5700            	2.9060             	5.0534             	4.1380             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
99                 	2021-02-08 20:55:13	214.3000           	23.5400            	2.9050             	5.0446             	4.1273             	0.5750             	60.0400            	0.0000             	0.0000             	0.0000             
100                	2021-02-08 20:55:14	214.3000           	23.5800            	2.9020             	5.0532             	4.1378             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
101                	2021-02-08 20:55:15	214.3000           	23.5600            	2.9000             	5.0489             	4.1343             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
102                	2021-02-08 20:55:16	214.2000           	22.4600            	2.7760             	4.8109             	3.9327             	0.5760             	60.0300            	0.0000             	0.0000             	0.0000             
103                	2021-02-08 20:55:17	214.1000           	23.5500            	2.9000             	5.0421             	4.1287             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
104                	2021-02-08 20:55:18	214.1000           	23.4500            	2.8940             	5.0206             	4.1041             	0.5760             	60.0400            	0.0000             	0.0000             	0.0000             
105                	2021-02-08 20:55:19	214.2000           	23.5500            	2.9040             	5.0444             	4.1271             	0.5750             	60.0400            	0.0000             	0.0000             	0.0000             
106                	2021-02-08 20:55:20	214.2000           	23.4900            	2.9020             	5.0316             	4.1130             	0.5760             	60.0400            	0.0000             	0.0000             	0.0000             
107                	2021-02-08 20:55:22	214.3000           	23.5300            	2.9050             	5.0425             	4.1255             	0.5750             	60.0400            	0.0000             	0.0000             	0.0000             
108                	2021-02-08 20:55:23	214.4000           	23.4800            	2.9020             	5.0341             	4.1151             	0.5760             	60.0400            	0.0000             	0.0000             	0.0000             
109                	2021-02-08 20:55:24	214.4000           	23.5800            	2.8990             	5.0556             	4.1433             	0.5730             	60.0400            	0.0000             	0.0000             	0.0000             
110                	2021-02-08 20:55:25	214.5000           	23.6400            	2.9170             	5.0708             	4.1487             	0.5750             	60.0400            	0.0000             	0.0000             	0.0000             
111                	2021-02-08 20:55:26	214.4000           	23.6400            	2.9140             	5.0684             	4.1503             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
112                	2021-02-08 20:55:27	214.4000           	23.5400            	2.9080             	5.0470             	4.1256             	0.5760             	60.0400            	0.0000             	0.0000             	0.0000             
113                	2021-02-08 20:55:28	214.4000           	23.5700            	2.9030             	5.0534             	4.1380             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
114                	2021-02-08 20:55:29	214.3000           	23.5200            	2.9020             	5.0403             	4.1238             	0.5750             	60.0400            	0.0000             	0.0000             	0.0000             
115                	2021-02-08 20:55:31	214.3000           	23.5600            	2.9060             	5.0489             	4.1308             	0.5750             	60.0400            	0.0000             	0.0000             	0.0000             
116                	2021-02-08 20:55:32	214.2000           	23.5800            	2.9040             	5.0508             	4.1359             	0.5740             	60.0400            	0.0000             	0.0000             	0.0000             
117                	2021-02-08 20:55:33	214.2000           	23.5300            	2.9050             	5.0401             	4.1200             	0.5760             	60.0400            	0.0000             	0.0000             	0.0000             
118                	2021-02-08 20:55:34	214.2000           	23.5200            	2.9050             	5.0380             	4.1183             	0.5760             	60.0400            	0.0000             	0.0000             	0.0000             
119                	2021-02-08 20:55:35	214.3000           	23.5100            	2.9040             	5.0382             	4.1185             	0.5760             	60.0400            	0.0000             	0.0000             	0.0000             
120                	2021-02-08 20:55:36	214.4000           	23.5600            	2.9050             	5.0513             	4.1363             	0.5740             	60.0300            	0.0000             	0.0000             	0.0000             
121                	2021-02-08 20:55:38	214.2000           	23.4700            	2.9000             	5.0273             	4.1095             	0.5760             	60.0300            	0.0000             	0.0000             	0.0000             
122                	2021-02-08 20:55:39	214.3000           	23.5100            	2.9030             	5.0382             	4.1220             	0.5750             	60.0300            	0.0000             	0.0000             	0.0000             
123                	2021-02-08 20:55:40	214.2000           	23.4700            	2.9100             	5.0273             	4.1024             	0.5780             	60.0300            	0.0000             	0.0000             	0.0000             
124                	2021-02-08 20:55:41	214.2000           	23.4800            	2.9100             	5.0294             	4.1042             	0.5780             	60.0300            	0.0000             	0.0000             	0.0000             
125                	2021-02-08 20:55:42	214.2000           	23.4500            	2.9050             	5.0230             	4.0989             	0.5780             	60.0200            	0.0000             	0.0000             	0.0000             
126                	2021-02-08 20:55:43	214.3000           	23.6000            	2.9080             	5.0575             	4.1413             	0.5740             	60.0200            	0.0000             	0.0000             	0.0000             
127                	2021-02-08 20:55:44	214.3000           	23.5700            	2.9020             	5.0511             	4.1361             	0.5740             	60.0200            	0.0000             	0.0000             	0.0000             
128                	2021-02-08 20:55:45	214.4000           	23.5200            	2.9050             	5.0427             	4.1221             	0.5760             	60.0200            	0.0000             	0.0000             	0.0000             
129                	2021-02-08 20:55:46	214.3000           	23.6400            	2.9040             	5.0661             	4.1554             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
130                	2021-02-08 20:55:47	214.4000           	23.6600            	2.9060             	5.0727             	4.1609             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
131                	2021-02-08 20:55:48	214.3000           	16.4500            	2.0140             	3.5252             	2.8940             	0.5710             	60.0200            	0.0000             	0.0000             	0.0000             
132                	2021-02-08 20:55:50	214.2000           	15.6900            	1.9090             	3.3608             	2.7683             	0.5670             	60.0300            	0.0000             	0.0000             	0.0000             
133                	2021-02-08 20:55:51	214.3000           	15.7000            	1.9120             	3.3645             	2.7691             	0.5680             	60.0300            	0.0000             	0.0000             	0.0000             
134                	2021-02-08 20:55:52	214.2000           	15.6800            	1.9120             	3.3587             	2.7643             	0.5680             	60.0300            	0.0000             	0.0000             	0.0000             
135                	2021-02-08 20:55:53	214.3000           	15.6000            	1.9000             	3.3431             	2.7515             	0.5680             	60.0400            	0.0000             	0.0000             	0.0000             
136                	2021-02-08 20:55:54	214.2000           	15.5600            	1.8930             	3.3330             	2.7454             	0.5670             	60.0400            	0.0000             	0.0000             	0.0000             
137                	2021-02-08 20:55:55	214.2000           	14.6700            	1.7720             	3.1423             	2.5970             	0.5630             	60.0400            	0.0000             	0.0000             	0.0000             
138                	2021-02-08 20:55:56	214.1000           	14.6900            	1.7740             	3.1451             	2.5993             	0.5630             	60.0400            	0.0000             	0.0000             	0.0000             
139                	2021-02-08 20:55:58	214.2000           	15.0200            	1.8170             	3.2173             	2.6568             	0.5640             	60.0300            	0.0000             	0.0000             	0.0000             
140                	2021-02-08 20:55:59	214.2000           	23.4000            	2.8870             	5.0123             	4.1008             	0.5750             	60.0300            	0.0000             	0.0000             	0.0000             
141                	2021-02-08 20:56:00	214.3000           	23.4500            	2.8910             	5.0253             	4.1115             	0.5750             	60.0300            	0.0000             	0.0000             	0.0000             
142                	2021-02-08 20:56:01	214.3000           	23.4400            	2.8880             	5.0232             	4.1133             	0.5740             	60.0300            	0.0000             	0.0000             	0.0000             
143                	2021-02-08 20:56:02	214.4000           	23.4800            	2.8930             	5.0341             	4.1222             	0.5740             	60.0200            	0.0000             	0.0000             	0.0000             
144                	2021-02-08 20:56:03	214.3000           	23.6000            	2.8940             	5.0575             	4.1484             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
145                	2021-02-08 20:56:04	214.3000           	23.5400            	2.8940             	5.0446             	4.1343             	0.5730             	60.0200            	0.0000             	0.0000             	0.0000             
146                	2021-02-08 20:56:05	214.4000           	23.5100            	2.8920             	5.0405             	4.1310             	0.5730             	60.0200            	0.0000             	0.0000             	0.0000             
147                	2021-02-08 20:56:06	214.2000           	23.6500            	2.9000             	5.0658             	4.1553             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
148                	2021-02-08 20:56:08	214.2000           	23.5900            	2.8990             	5.0530             	4.1412             	0.5730             	60.0300            	0.0000             	0.0000             	0.0000             
149                	2021-02-08 20:56:09	214.2000           	23.6700            	2.9010             	5.0701             	4.1588             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
150                	2021-02-08 20:56:10	214.2000           	23.6400            	2.9010             	5.0637             	4.1535             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
151                	2021-02-08 20:56:11	214.2000           	23.6600            	2.9010             	5.0680             	4.1570             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
152                	2021-02-08 20:56:12	214.2000           	23.6300            	2.9000             	5.0615             	4.1518             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
153                	2021-02-08 20:56:13	214.3000           	23.7000            	2.9030             	5.0789             	4.1695             	0.5710             	60.0100            	0.0000             	0.0000             	0.0000             
154                	2021-02-08 20:56:14	214.6000           	23.6600            	2.9060             	5.0774             	4.1648             	0.5720             	60.0100            	0.0000             	0.0000             	0.0000             
155                	2021-02-08 20:56:15	214.5000           	22.7000            	2.7880             	4.8691             	3.9939             	0.5720             	60.0100            	0.0000             	0.0000             	0.0000             
156                	2021-02-08 20:56:17	214.6000           	22.6000            	2.7750             	4.8500             	3.9782             	0.5720             	60.0100            	0.0000             	0.0000             	0.0000             
157                	2021-02-08 20:56:18	214.6000           	23.6000            	2.9030             	5.0646             	4.1542             	0.5720             	60.0100            	0.0000             	0.0000             	0.0000             
158                	2021-02-08 20:56:19	214.6000           	23.6700            	2.9070             	5.0796             	4.1665             	0.5720             	60.0100            	0.0000             	0.0000             	0.0000             
159                	2021-02-08 20:56:20	214.6000           	23.7000            	2.9060             	5.0860             	4.1754             	0.5710             	60.0100            	0.0000             	0.0000             	0.0000             
160                	2021-02-08 20:56:21	214.7000           	23.8100            	2.9210             	5.1120             	4.1967             	0.5710             	60.0100            	0.0000             	0.0000             	0.0000             
161                	2021-02-08 20:56:22	214.6000           	23.6900            	2.9110             	5.0839             	4.1701             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
162                	2021-02-08 20:56:24	214.7000           	23.6100            	2.9020             	5.0691             	4.1579             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
163                	2021-02-08 20:56:25	214.8000           	23.6300            	2.9050             	5.0757             	4.1634             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
164                	2021-02-08 20:56:26	214.8000           	23.5800            	2.9020             	5.0650             	4.1546             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
165                	2021-02-08 20:56:27	214.7000           	23.6000            	2.9020             	5.0669             	4.1562             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
166                	2021-02-08 20:56:28	214.9000           	23.6400            	2.9090             	5.0802             	4.1671             	0.5720             	60.0200            	0.0000             	0.0000             	0.0000             
167                	2021-02-08 20:56:29	214.8000           	23.5700            	2.9140             	5.0628             	4.1422             	0.5750             	60.0300            	0.0000             	0.0000             	0.0000             
168                	2021-02-08 20:56:31	215.0000           	23.6000            	2.9140             	5.0740             	4.1549             	0.5740             	60.0300            	0.0000             	0.0000             	0.0000             
169                	2021-02-08 20:56:32	215.0000           	23.5500            	2.9130             	5.0633             	4.1425             	0.5750             	60.0300            	0.0000             	0.0000             	0.0000             
170                	2021-02-08 20:56:33	215.1000           	23.5500            	2.9090             	5.0656             	4.1515             	0.5730             	60.0300            	0.0000             	0.0000             	0.0000             
171                	2021-02-08 20:56:34	215.0000           	23.5800            	2.9080             	5.0697             	4.1549             	0.5730             	60.0300            	0.0000             	0.0000             	0.0000             
172                	2021-02-08 20:56:35	214.8000           	23.6000            	2.9070             	5.0693             	4.1546             	0.5730             	60.0300            	0.0000             	0.0000             	0.0000             
173                	2021-02-08 20:56:36	214.9000           	23.6600            	2.9140             	5.0845             	4.1706             	0.5720             	60.0300            	0.0000             	0.0000             	0.0000             
174                	2021-02-08 20:56:38	214.8000           	23.6000            	2.9050             	5.0693             	4.1581             	0.5720             	60.0400            	0.0000             	0.0000             	0.0000             
175                	2021-02-08 20:56:39	214.8000           	23.5600            	2.9030             	5.0607             	4.1475             	0.5730             	60.0300            	0.0000             	0.0000             	0.0000             
176                	2021-02-08 20:56:40	214.7000           	23.5600            	2.9030             	5.0583             	4.1456             	0.5730             	60.0200            	0.0000             	0.0000             	0.0000             
177                	2021-02-08 20:56:41	214.7000           	23.5200            	2.9050             	5.0497             	4.1350             	0.5740             	60.0300            	0.0000             	0.0000             	0.0000             
178                	2021-02-08 20:56:42	214.7000           	23.5900            	2.9100             	5.0648             	4.1473             	0.5740             	60.0300            	0.0000             	0.0000             	0.0000             
179                	2021-02-08 20:56:43	214.7000           	23.6000            	2.9050             	5.0669             	4.1526             	0.5730             	60.0200            	0.0000             	0.0000             	0.0000             
180                	2021-02-08 20:56:44	214.6000           	23.5300            	2.9050             	5.0495             	4.1313             	0.5750             	60.0200            	0.0000             	0.0000             	0.0000             
181                	2021-02-08 20:56:45	214.6000           	23.5900            	2.9090             	5.0624             	4.1454             	0.5740             	60.0200            	0.0000             	0.0000             	0.0000             
